INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,OFFICER_GENDER,OFFICER_RACE
-7192,08/31/2003 01:07:00 AM,20030617,P032430085,DISTRICT 5,9825,CHEMICAL IRRITANT,42XX HAMILTON AV,,,MALE,BLACK,MALE,WHITE
-7616,03/02/2004 03:20:00 AM,20040115,P040620171,DISTRICT 3,9825,CHEMICAL IRRITANT,9XX GRAND AV,,,MALE,WHITE,FEMALE,WHITE
-6480,11/06/2002 10:54:00 PM,20020735,P023101682,DISTRICT 5,9825,CHEMICAL IRRITANT,41XX KIRBY AV,,,MALE,BLACK,MALE,WHITE
-2714,06/16/1999 01:00:00 PM,9900482,638,DISTRICT 1,9826,INJURY TO PRISONER,2XX MAGNOLIA,,,MALE,BLACK,MALE,BLACK
3799,03/05/2008 02:35:00 PM,2008-110832,LCP080305000863,DISTRICT 4,9826,INJURY TO PRISONER,11XX E MCMILLAN AV,,,MALE,BLACK,MALE,BLACK
6021,07/27/2011 03:00:00 AM,2011-159234,LCP110727000157,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,41XX LANGLAND AV,,,MALE,BLACK,MALE,WHITE
3820,03/19/2008 11:10:00 AM,2008-111442,LCP080319000496,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,23XX KEMPER LN 07,,,MALE,BLACK,MALE,BLACK
3573,11/19/2007 04:15:00 AM,2007-106231,P073230115,OUTSIDE CITY,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,74XX COLERAIN AV,,,MALE,WHITE,MALE,WHITE
-2147,12/03/1998 08:45:00 PM,9800908,P983371301,DISTRICT 5,9825,CHEMICAL IRRITANT,16XX CHASE,,,MALE,BLACK,MALE,BLACK
-4334,10/19/2000 04:55:00 PM,20001030,P002931089,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,20XX SUTTER AV,,,MALE,BLACK,MALE,TWO OR MORE
-2272,01/16/1999 12:10:00 AM,9900039,P990160013,DISTRICT 4,9825,CHEMICAL IRRITANT,25XX HEMLOCK,,,MALE,BLACK,MALE,BLACK
7765,02/24/2015 02:15:00 AM,2015-199225,LCP150224000072,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,33XX CENTRAL PKWY 23,,,MALE,WHITE,MALE,WHITE
7952,07/18/2015 08:16:00 PM,2015-203325,LCP150710001332,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,23XX FERGUSON RD CINCINNATI OH 45239,,,MALE,BLACK,MALE,WHITE
-3132,11/03/1999 10:57:00 PM,9900902,P993071584,DISTRICT 3,9825,CHEMICAL IRRITANT,11XX MCPHERSON,,,MALE,BLACK,MALE,WHITE
-330,12/20/1996 12:15:00 PM,9600485,P963550438,DISTRICT 3,9826,INJURY TO PRISONER,28XX GLENWAY AV,,,MALE,BLACK,MALE,WHITE
-3532,03/13/2000 06:02:00 PM,20000221,P000731072,DISTRICT 3,9825,CHEMICAL IRRITANT,20XX MILVALE,,,MALE,BLACK,MALE,WHITE
-7337,09/07/2003 12:20:00 AM,20030762,P032500029,DISTRICT 5,9826,INJURY TO PRISONER,24XX W MCMICKEN ST,,,MALE,WHITE,MALE,WHITE
-2267,01/19/1999 08:50:00 PM,9900034,P990191108,DISTRICT 3,9825,CHEMICAL IRRITANT,22XX DUTTON,,,MALE,WHITE,MALE,WHITE
-2142,11/14/1998 02:16:00 AM,9800903,P983180187,DISTRICT 5,9826,INJURY TO PRISONER,25XX W CLIFTON,,,MALE,WHITE,FEMALE,WHITE
8255,01/02/2016 01:26:00 AM,2016-208535,LCP160102000060,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,N I71 ENTRACE RAMP FROM DANA AV,,,MALE,BLACK,MALE,WHITE
8255,01/02/2016 01:26:00 AM,2016-208535,LCP160102000060,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,N I71 ENTRACE RAMP FROM DANA AV,,,MALE,BLACK,MALE,WHITE
8255,01/02/2016 01:26:00 AM,2016-208535,LCP160102000060,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,N I71 ENTRACE RAMP FROM DANA AV,,,MALE,BLACK,MALE,WHITE
-5125,05/30/2001 09:40:00 PM,20010545,P011501474,DISTRICT 1,9826,INJURY TO PRISONER,5XX PETE ROSE WAY,,,MALE,WHITE,MALE,WHITE
-5125,05/30/2001 09:40:00 PM,20010545,P011501474,DISTRICT 1,9826,INJURY TO PRISONER,5XX PETE ROSE WAY,,,MALE,WHITE,MALE,WHITE
7814,03/12/2015 08:57:00 PM,2015-200492,LCP150312001535,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,10XX PURCELL,,,MALE,BLACK,MALE,WHITE
